Temperature_C,Humidity_Pct,Soil_Moisture_Pct,Plant_Risk_Level
18.94,79.41,19.91,Medium Risk
43.0,32.8,28.57,Medium Risk
42.51,21.6,62.22,High Risk
36.76,42.22,20.67,High Risk
23.32,76.12,64.28,Low Risk
44.17,82.7,76.65,Medium Risk
38.3,29.65,51.3,Low Risk
35.92,72.96,57.25,Medium Risk
28.43,27.79,58.26,Medium Risk
24.05,47.47,79.5,Medium Risk
17.81,89.63,32.67,Medium Risk
41.46,33.42,21.96,High Risk
28.33,28.18,43.63,Medium Risk
21.21,47.86,44.14,Medium Risk
23.92,63.11,24.51,Medium Risk
32.72,85.01,54.27,Medium Risk
20.67,87.64,10.0,Medium Risk
41.32,24.56,74.93,High Risk
38.75,29.77,30.05,High Risk
37.28,76.95,13.4,High Risk
27.31,38.77,17.8,High Risk
33.19,82.66,28.46,Medium Risk
32.47,65.47,28.08,Medium Risk
34.18,28.86,12.34,Medium Risk
16.74,78.95,29.53,Medium Risk
27.17,33.9,23.1,Medium Risk
15.92,50.93,35.92,Medium Risk
29.35,59.71,37.07,Medium Risk
24.67,54.88,33.78,Medium Risk
20.16,68.47,31.38,Medium Risk
18.24,67.6,17.48,Medium Risk
34.36,88.27,10.3,Medium Risk
20.24,88.83,23.82,Medium Risk
42.55,56.48,62.52,Medium Risk
32.43,27.41,79.89,High Risk
25.59,69.47,71.82,Medium Risk
33.03,88.23,46.63,High Risk
17.14,42.11,46.21,Medium Risk
43.17,48.3,33.85,Medium Risk
30.07,49.34,63.46,Medium Risk
38.63,23.32,63.46,High Risk
16.38,66.77,71.97,Medium Risk
30.14,47.28,72.27,Medium Risk
30.61,72.93,42.26,Medium Risk
42.53,76.76,63.74,Medium Risk
32.15,72.78,67.07,Medium Risk
28.0,48.3,31.7,Medium Risk
22.13,41.8,76.32,Medium Risk
25.68,71.5,15.58,Medium Risk
30.29,78.09,78.12,Medium Risk
27.39,55.94,62.95,Low Risk
15.81,82.65,16.68,Medium Risk
39.42,29.41,55.6,High Risk
41.56,83.38,13.46,High Risk
19.73,26.69,65.87,Medium Risk
30.81,29.27,64.48,Medium Risk
17.62,54.28,51.07,Medium Risk
35.28,23.93,67.83,Medium Risk
24.12,25.05,19.9,Medium Risk
35.65,24.13,29.77,Medium Risk
36.34,50.65,39.71,Medium Risk
38.72,72.85,10.96,High Risk
17.68,20.31,41.37,Medium Risk
43.76,66.65,29.33,Medium Risk
21.11,74.44,37.11,Medium Risk
17.05,32.75,41.37,Medium Risk
31.19,31.75,75.03,Medium Risk
27.54,81.04,27.5,Medium Risk
40.31,77.22,71.03,Low Risk
38.54,58.74,38.5,Medium Risk
24.15,77.65,35.36,Medium Risk
44.13,25.09,46.74,High Risk
24.46,50.94,39.04,Medium Risk
30.4,71.01,28.07,Medium Risk
22.71,39.42,43.96,Medium Risk
43.61,68.31,21.96,High Risk
20.03,57.59,34.07,Medium Risk
15.44,75.16,49.22,Medium Risk
27.48,52.58,39.85,Medium Risk
44.94,46.76,67.39,Medium Risk
42.6,36.35,27.62,Medium Risk
38.59,33.43,77.9,Medium Risk
42.27,73.59,66.12,Medium Risk
42.0,26.87,80.0,High Risk
31.09,24.92,69.55,Medium Risk
24.01,34.37,21.15,Medium Risk
38.05,34.03,46.55,Medium Risk
34.27,76.35,20.84,Medium Risk
25.34,46.58,68.26,High Risk
18.07,88.17,51.15,Medium Risk
37.53,30.92,26.31,Medium Risk
23.36,63.95,74.58,Medium Risk
43.49,52.05,17.94,High Risk
22.4,48.85,48.7,Medium Risk
19.07,81.1,62.7,Low Risk
39.9,90.0,14.84,Medium Risk
19.89,80.55,53.91,Medium Risk
19.87,33.08,67.51,Medium Risk
33.24,33.7,14.85,Medium Risk
41.7,67.76,44.45,High Risk
20.42,38.86,28.12,Low Risk
24.35,72.06,56.42,Low Risk
37.89,59.52,16.26,High Risk
43.79,56.67,74.78,Medium Risk
29.23,76.9,72.15,Medium Risk
20.2,72.23,23.64,High Risk
16.16,22.22,33.32,Medium Risk
22.27,21.65,50.26,Medium Risk
20.34,62.66,60.97,Low Risk
35.2,53.77,40.71,Medium Risk
20.78,44.43,16.64,Medium Risk
30.03,49.82,16.56,Medium Risk
36.01,72.37,80.0,Medium Risk
32.16,80.42,39.35,Medium Risk
21.25,55.97,71.25,Medium Risk
39.71,47.15,46.14,Medium Risk
36.38,42.54,73.42,Medium Risk
38.41,56.33,16.15,High Risk
19.1,38.91,16.03,Medium Risk
18.9,58.77,77.52,Medium Risk
42.19,69.98,76.2,Medium Risk
27.22,25.3,32.1,Medium Risk
23.93,20.0,36.89,Medium Risk
29.23,33.63,42.66,Medium Risk
34.34,81.61,37.82,Medium Risk
45.0,65.89,22.33,High Risk
23.41,34.45,73.63,Medium Risk
41.72,84.21,26.8,Medium Risk
15.26,53.72,56.19,Medium Risk
31.62,50.93,14.62,Medium Risk
34.4,83.1,10.49,Medium Risk
18.57,25.12,58.19,Medium Risk
19.68,32.64,34.0,Medium Risk
27.12,60.6,54.52,Low Risk
44.23,34.23,15.53,High Risk
32.27,65.52,73.66,Medium Risk
42.56,33.14,60.75,Medium Risk
38.49,26.77,72.86,High Risk
28.19,35.4,22.9,Medium Risk
39.29,51.5,33.5,Medium Risk
16.02,33.42,35.65,Medium Risk
18.96,29.56,46.95,Medium Risk
39.91,78.88,29.35,Medium Risk
39.45,40.5,17.33,High Risk
20.75,44.33,35.54,Medium Risk
31.53,24.61,30.99,Medium Risk
33.3,45.62,39.1,Medium Risk
41.47,34.76,21.18,High Risk
33.36,61.32,27.33,Medium Risk
26.69,36.55,52.88,Medium Risk
25.18,82.33,37.05,Medium Risk
27.28,82.53,34.09,Medium Risk
34.95,31.23,51.87,Medium Risk
41.51,27.47,62.41,High Risk
27.66,28.76,36.86,Medium Risk
21.75,64.09,52.05,Low Risk
21.59,27.88,77.63,Medium Risk
37.13,78.36,46.7,Medium Risk
38.54,76.62,72.12,Medium Risk
17.16,79.19,65.72,Medium Risk
16.42,58.3,14.88,Medium Risk
32.89,90.0,40.53,Medium Risk
18.56,21.29,59.74,Medium Risk
39.66,50.39,80.0,Medium Risk
25.05,41.16,43.49,Medium Risk
18.4,86.92,16.6,Medium Risk
42.48,57.43,47.58,Medium Risk
20.68,72.76,17.96,Medium Risk
23.25,32.5,62.28,Medium Risk
19.21,87.05,45.92,Medium Risk
19.28,51.32,59.92,Medium Risk
15.42,55.53,69.45,Medium Risk
17.44,90.0,52.24,Medium Risk
20.54,49.15,50.39,Medium Risk
16.36,47.36,62.47,Medium Risk
33.07,60.95,66.77,Medium Risk
35.65,30.56,69.33,Medium Risk
27.52,44.5,11.96,Medium Risk
24.16,32.91,46.93,Medium Risk
30.16,27.29,25.71,Medium Risk
41.21,81.17,71.33,Medium Risk
41.03,62.25,54.56,Medium Risk
15.59,44.87,38.76,Medium Risk
21.16,48.39,23.97,Medium Risk
22.43,52.69,32.66,Medium Risk
21.56,66.5,58.09,Low Risk
32.98,85.73,26.1,Medium Risk
29.05,88.39,17.88,Medium Risk
17.18,46.71,73.06,Medium Risk
27.21,45.97,64.88,Medium Risk
30.77,52.55,21.02,Medium Risk
16.89,65.64,32.49,Medium Risk
38.71,50.18,78.63,Medium Risk
16.74,64.87,61.09,Medium Risk
42.33,59.56,53.32,Medium Risk
17.33,43.17,31.61,Medium Risk
40.26,47.71,30.53,Medium Risk
42.51,45.3,13.32,Medium Risk
43.37,28.25,60.53,High Risk
38.75,33.72,14.32,High Risk
39.44,71.89,10.0,High Risk
33.52,45.51,60.25,Medium Risk
38.98,37.55,79.49,Medium Risk
18.7,61.6,62.02,Medium Risk
31.46,73.97,42.66,Medium Risk
31.19,38.39,42.7,Medium Risk
41.25,78.28,41.03,Medium Risk
29.52,84.78,31.62,Medium Risk
25.75,62.97,46.24,Low Risk
34.97,66.88,41.45,Medium Risk
22.4,22.15,50.82,Medium Risk
19.37,84.3,74.05,Medium Risk
29.52,46.12,80.0,Medium Risk
27.85,85.07,17.09,Medium Risk
22.21,60.48,37.14,Medium Risk
25.43,20.71,27.51,Medium Risk
25.05,23.6,36.23,Medium Risk
25.44,66.5,30.61,Medium Risk
26.51,62.02,20.9,Medium Risk
36.38,21.38,63.34,Medium Risk
23.87,71.26,46.88,Low Risk
42.48,80.52,76.91,Medium Risk
43.17,51.44,14.5,High Risk
29.17,51.18,15.87,Medium Risk
25.09,22.15,36.35,Medium Risk
30.61,71.94,16.35,Medium Risk
41.61,45.16,26.53,Medium Risk
33.96,84.23,76.79,Medium Risk
38.9,45.45,24.99,Medium Risk
31.06,60.08,24.65,Medium Risk
33.22,40.94,51.51,Medium Risk
23.88,30.4,45.61,Medium Risk
38.18,75.81,51.43,Medium Risk
20.73,53.55,34.89,Medium Risk
36.12,56.69,67.72,Medium Risk
38.9,86.14,17.44,High Risk
18.94,88.07,36.98,High Risk
33.21,81.98,59.39,Medium Risk
17.28,32.8,69.65,Medium Risk
37.53,59.31,37.18,Medium Risk
17.31,79.52,51.4,Medium Risk
42.95,46.92,13.91,High Risk
18.86,30.4,22.81,Medium Risk
42.42,77.48,13.85,High Risk
38.23,53.03,58.18,Medium Risk
33.48,60.89,30.35,Medium Risk
37.0,88.32,59.96,Medium Risk
38.32,61.82,13.99,High Risk
43.1,48.02,73.34,Medium Risk
23.82,48.43,66.2,Medium Risk
33.24,44.66,16.8,Medium Risk
17.46,29.72,10.17,Low Risk
34.4,74.8,15.3,Medium Risk
19.62,77.9,70.2,Medium Risk
32.65,42.95,27.0,Medium Risk
31.22,39.98,46.96,Medium Risk
29.73,79.98,38.69,Medium Risk
30.39,21.44,67.08,Medium Risk
37.2,57.18,46.88,Medium Risk
38.83,51.66,45.77,Medium Risk
29.96,65.48,77.89,Medium Risk
32.64,29.88,21.02,Medium Risk
43.32,69.09,71.79,Medium Risk
18.18,46.51,13.78,Medium Risk
18.95,64.12,45.63,Medium Risk
17.94,22.34,70.93,Medium Risk
34.69,51.13,56.5,Medium Risk
27.25,59.58,58.89,Low Risk
38.34,34.66,29.03,Medium Risk
35.52,28.98,38.15,Medium Risk
26.45,35.17,34.45,Medium Risk
42.61,42.79,47.98,Medium Risk
38.56,25.71,44.14,High Risk
25.28,86.33,35.15,Medium Risk
26.29,48.35,34.09,Medium Risk
24.77,77.1,27.76,Medium Risk
20.22,90.0,35.09,Medium Risk
18.73,26.26,22.52,Medium Risk
42.77,61.34,72.12,Medium Risk
27.78,81.59,50.67,Medium Risk
26.95,64.46,17.81,Medium Risk
36.77,50.11,59.31,Medium Risk
31.69,50.62,69.07,Medium Risk
43.85,22.46,26.59,High Risk
39.01,57.33,22.15,High Risk
29.27,90.0,11.74,Medium Risk
25.82,86.13,15.3,Medium Risk
45.0,21.12,60.46,High Risk
37.07,74.85,79.48,Medium Risk
42.41,39.83,14.18,High Risk
18.34,83.39,60.08,Medium Risk
40.63,20.47,14.05,High Risk
34.66,85.72,50.19,Medium Risk
19.29,76.94,62.96,Medium Risk
32.85,27.43,37.59,Medium Risk
35.99,26.07,13.8,High Risk
15.41,79.28,50.44,Medium Risk
28.16,31.93,80.0,Medium Risk
39.58,54.25,28.87,Medium Risk
23.87,87.41,23.85,Medium Risk
28.73,57.58,19.27,Medium Risk
26.95,50.56,49.32,High Risk
23.78,52.99,54.28,Low Risk
42.59,25.46,67.11,High Risk
38.24,86.27,61.12,Medium Risk
18.14,42.02,73.67,Medium Risk
45.0,32.41,67.74,Medium Risk
40.62,40.08,27.78,Medium Risk
22.38,87.06,50.61,Medium Risk
39.86,22.93,31.1,High Risk
18.73,82.73,33.39,Medium Risk
45.0,69.4,75.42,Medium Risk
35.52,77.23,54.71,Medium Risk
33.48,87.3,78.1,Medium Risk
17.55,79.6,38.18,Low Risk
42.09,84.43,45.84,Medium Risk
15.99,24.83,46.25,Medium Risk
22.6,76.44,18.27,Medium Risk
18.65,59.13,26.52,Medium Risk
38.35,57.69,46.09,Medium Risk
21.24,80.86,15.16,Medium Risk
42.9,88.19,76.69,Low Risk
34.12,66.7,17.43,Medium Risk
15.84,51.96,23.85,Medium Risk
15.0,50.6,64.87,Medium Risk
16.11,48.56,13.88,Medium Risk
32.81,44.66,72.93,Medium Risk
38.33,46.6,60.16,Medium Risk
22.27,29.8,14.6,Medium Risk
40.44,26.05,57.68,High Risk
15.14,75.2,54.42,Medium Risk
39.18,50.56,65.9,Low Risk
42.18,84.07,67.49,Medium Risk
38.5,58.92,60.72,Low Risk
35.05,24.21,54.02,Medium Risk
40.16,31.83,31.75,Medium Risk
16.01,34.08,61.53,Medium Risk
21.27,88.05,77.0,Medium Risk
18.83,36.63,53.8,Medium Risk
29.96,53.3,57.63,Medium Risk
36.28,84.47,41.06,Medium Risk
32.87,86.36,62.83,Medium Risk
40.13,39.73,78.9,Medium Risk
19.65,25.01,21.34,Medium Risk
36.61,26.79,25.51,Medium Risk
21.23,21.71,47.74,Medium Risk
22.93,33.42,43.22,Medium Risk
35.62,58.95,49.63,Medium Risk
44.21,81.49,14.92,Medium Risk
33.5,61.11,40.14,Medium Risk
16.86,64.38,49.81,Medium Risk
34.8,34.99,49.96,Medium Risk
15.8,74.8,56.58,Medium Risk
41.47,64.55,62.71,Low Risk
36.59,79.8,56.63,Medium Risk
20.18,85.91,63.44,Medium Risk
17.4,45.45,53.34,Medium Risk
19.42,23.41,46.23,Medium Risk
44.04,38.69,52.03,Medium Risk
28.01,50.98,19.49,Low Risk
37.31,88.5,26.99,Medium Risk
33.54,44.55,44.49,Medium Risk
31.44,72.29,69.87,Medium Risk
19.76,55.74,57.96,Medium Risk
43.8,33.25,17.26,High Risk
23.41,42.57,52.12,Medium Risk
32.16,64.89,27.29,Medium Risk
34.69,65.27,58.74,Medium Risk
34.13,48.15,69.7,Medium Risk
43.5,35.92,51.07,Medium Risk
20.03,69.7,52.49,Low Risk
29.75,30.59,31.72,Medium Risk
27.86,88.35,41.24,Low Risk
28.16,33.01,70.84,Medium Risk
17.7,29.8,62.37,Medium Risk
19.52,53.88,44.0,Medium Risk
24.51,56.81,35.82,Medium Risk
24.49,55.47,11.9,Medium Risk
27.81,47.51,20.77,Medium Risk
31.79,90.0,24.68,Medium Risk
32.62,53.8,38.07,Medium Risk
27.44,54.8,75.29,Medium Risk
27.01,48.17,46.75,Medium Risk
20.75,24.38,28.48,Medium Risk
32.7,59.95,14.94,Medium Risk
24.59,38.18,34.6,Medium Risk
16.74,65.19,68.54,Medium Risk
27.65,24.22,36.45,Medium Risk
30.08,90.0,62.26,Medium Risk
21.77,54.91,67.6,Low Risk
32.09,84.15,15.96,Medium Risk
32.72,50.73,52.34,Medium Risk
35.38,22.97,77.08,Medium Risk
36.41,75.75,39.22,Medium Risk
34.84,66.68,12.63,Medium Risk
24.75,75.03,73.6,Medium Risk
38.99,47.47,72.01,Medium Risk
32.79,64.32,48.06,Medium Risk
28.5,77.25,52.09,Medium Risk
32.66,64.08,22.56,Medium Risk
26.8,41.36,67.83,Medium Risk
30.14,67.33,43.27,Medium Risk
37.18,67.71,13.9,High Risk
40.7,90.0,56.4,Medium Risk
43.0,47.49,75.52,Medium Risk
29.65,48.99,67.16,Medium Risk
30.68,78.32,29.29,Medium Risk
38.8,52.89,14.22,High Risk
25.78,69.83,76.55,Medium Risk
41.51,52.78,75.59,Medium Risk
29.86,31.2,45.27,Medium Risk
18.52,72.1,56.05,Medium Risk
16.9,27.34,42.3,High Risk
41.03,34.08,41.13,Medium Risk
16.44,61.94,17.3,Medium Risk
23.12,73.07,14.37,Medium Risk
25.71,82.66,26.24,Medium Risk
19.81,41.6,70.51,Medium Risk
24.39,27.76,20.45,Medium Risk
36.17,85.54,25.57,Medium Risk
15.93,30.37,47.1,Medium Risk
41.17,31.42,27.7,Medium Risk
41.2,41.12,19.88,High Risk
27.19,58.12,48.34,Low Risk
19.02,86.24,36.62,Medium Risk
33.19,72.12,51.05,Medium Risk
17.93,69.09,75.77,High Risk
25.79,31.23,21.51,Medium Risk
44.29,45.42,75.29,Medium Risk
44.94,54.18,74.01,Medium Risk
37.17,30.22,67.79,Medium Risk
23.41,41.1,52.6,Medium Risk
34.66,40.47,53.2,Medium Risk
36.51,30.68,53.28,Medium Risk
28.08,59.49,59.06,Medium Risk
35.18,69.33,12.36,Medium Risk
15.0,24.33,79.28,Medium Risk
22.27,58.05,51.55,Low Risk
31.41,73.28,66.09,Medium Risk
18.83,72.9,35.96,Medium Risk
19.76,75.7,10.15,Medium Risk
40.86,54.59,46.39,Medium Risk
45.0,79.04,44.92,Medium Risk
30.76,35.63,40.99,Medium Risk
40.6,46.18,32.19,Medium Risk
43.21,32.81,26.17,Medium Risk
19.09,51.79,47.88,Medium Risk
29.24,48.81,37.6,Medium Risk
26.79,37.57,76.42,High Risk
17.05,73.01,23.11,Medium Risk
38.28,41.89,31.58,Low Risk
28.7,39.87,30.6,Medium Risk
30.0,29.58,50.16,Medium Risk
20.13,50.82,46.16,Low Risk
21.18,40.05,56.26,Medium Risk
42.73,48.9,79.36,Medium Risk
16.53,34.63,28.91,Medium Risk
22.05,74.19,57.02,Low Risk
23.6,84.52,10.67,Medium Risk
28.86,58.02,27.99,Medium Risk
31.92,63.38,38.93,Medium Risk
29.6,79.38,11.86,Medium Risk
17.69,88.17,52.42,Medium Risk
23.32,63.53,58.66,Low Risk
40.28,79.81,62.8,Medium Risk
34.83,82.74,45.26,Medium Risk
35.23,71.53,53.16,High Risk
34.94,52.7,38.81,Medium Risk
38.3,24.78,11.73,High Risk
16.57,20.0,16.26,Medium Risk
26.92,55.36,52.51,Low Risk
31.63,52.25,78.05,Medium Risk
24.32,49.95,10.0,Medium Risk
40.45,58.51,49.14,High Risk
30.63,61.53,61.15,Medium Risk
37.93,79.91,67.1,Medium Risk
40.87,25.79,46.33,High Risk
30.53,34.11,53.65,Medium Risk
41.56,76.6,59.41,Medium Risk
32.97,78.88,70.73,Medium Risk
39.53,89.33,18.58,High Risk
24.78,83.39,72.52,Medium Risk
30.72,80.95,10.89,Medium Risk
31.19,42.17,67.92,Medium Risk
17.94,49.83,14.77,Medium Risk
27.27,40.22,23.74,Medium Risk
42.48,62.15,12.41,High Risk
33.93,85.2,42.39,Medium Risk
20.78,40.99,31.92,Medium Risk
24.66,57.09,22.64,Medium Risk
20.78,41.31,42.54,Medium Risk
15.53,31.64,36.96,Medium Risk
41.71,33.8,65.01,Medium Risk
27.8,25.93,72.28,Medium Risk
25.32,84.31,53.56,Medium Risk
33.22,47.78,19.39,Medium Risk
15.0,78.73,31.0,Medium Risk
22.26,66.43,73.59,Medium Risk
36.01,36.01,16.16,High Risk
35.11,33.92,37.4,Medium Risk
44.32,77.36,76.89,Medium Risk
34.53,41.76,76.48,Medium Risk
29.57,81.23,39.03,Medium Risk
38.17,29.79,57.25,High Risk
41.16,68.1,40.24,High Risk
37.28,75.37,61.4,Medium Risk
43.66,37.01,10.0,High Risk
39.06,37.34,20.94,High Risk
40.43,88.76,51.18,Medium Risk
18.55,40.43,26.48,Medium Risk
37.22,50.59,57.18,Medium Risk
28.09,46.94,35.49,Medium Risk
31.88,35.97,70.26,Medium Risk
34.44,75.32,67.25,Medium Risk
43.64,74.07,47.0,Medium Risk
45.0,41.63,66.67,Medium Risk
24.38,80.7,30.46,Medium Risk
36.48,35.16,45.1,Low Risk
37.9,20.0,22.32,High Risk
24.87,61.77,71.34,Medium Risk
17.89,88.37,67.38,Medium Risk
16.95,21.47,73.99,Medium Risk
37.13,35.2,70.47,Medium Risk
30.34,59.53,76.91,Medium Risk
44.39,79.62,26.23,Medium Risk
28.8,26.88,75.6,Medium Risk
44.62,48.5,50.73,Medium Risk
27.75,73.72,38.71,Medium Risk
38.23,43.75,47.21,Medium Risk
18.05,34.38,36.42,Medium Risk
31.74,32.36,33.93,Medium Risk
38.18,49.28,27.56,Medium Risk
42.62,53.15,13.78,High Risk
40.64,81.23,43.6,Medium Risk
17.28,65.17,72.91,Medium Risk
26.68,62.8,56.12,Low Risk
15.63,89.13,44.65,Medium Risk
18.62,49.98,39.82,Medium Risk
35.85,49.04,42.8,Medium Risk
36.91,84.45,25.95,Medium Risk
38.76,40.17,67.09,Medium Risk
41.22,71.65,21.54,High Risk
37.13,73.61,61.1,Medium Risk
38.6,28.73,64.89,High Risk
15.14,53.43,50.12,Medium Risk
22.27,32.42,71.01,Medium Risk
33.79,28.59,29.66,Medium Risk
41.13,51.61,70.44,Medium Risk
15.0,41.63,62.6,Medium Risk
30.89,75.09,66.49,Medium Risk
36.76,84.97,57.26,Medium Risk
15.94,76.46,71.5,Medium Risk
27.0,40.94,77.93,Low Risk
42.09,38.66,38.58,Medium Risk
36.57,38.67,67.21,Medium Risk
21.41,30.36,61.27,Medium Risk
40.73,88.77,42.88,Medium Risk
24.88,45.07,74.61,Medium Risk
40.22,34.9,36.12,Medium Risk
23.93,80.79,49.68,Medium Risk
33.65,50.73,17.67,Medium Risk
28.17,22.89,27.21,Medium Risk
23.56,30.81,69.44,High Risk
41.33,66.11,38.45,Medium Risk
22.37,76.37,38.07,Medium Risk
17.25,34.12,26.94,Medium Risk
24.86,84.81,43.34,Medium Risk
35.29,81.69,66.84,Medium Risk
40.2,82.79,72.16,Medium Risk
45.0,37.27,17.44,Low Risk
25.58,23.62,52.25,Medium Risk
26.27,80.62,43.66,Medium Risk
20.13,42.41,53.57,Medium Risk
32.3,63.12,41.18,Medium Risk
45.0,73.54,36.01,Medium Risk
34.87,27.08,42.71,Medium Risk
33.88,76.99,50.89,Low Risk
27.32,83.64,45.41,Medium Risk
42.43,70.21,43.75,Medium Risk
30.36,51.06,68.63,Medium Risk
18.5,84.95,61.16,Medium Risk
25.56,56.16,32.87,Medium Risk
16.69,70.94,68.22,Medium Risk
19.76,76.44,70.91,Medium Risk
16.13,75.44,20.16,Medium Risk
29.43,35.09,50.63,Medium Risk
33.55,26.44,29.82,Low Risk
25.54,41.6,61.79,Medium Risk
27.43,56.26,27.42,Medium Risk
44.01,53.38,60.8,Medium Risk
37.12,60.71,28.14,Medium Risk
30.61,47.78,46.77,Medium Risk
24.27,76.61,73.88,Medium Risk
41.87,87.23,35.96,Medium Risk
23.47,37.97,73.14,Medium Risk
24.79,70.59,79.69,Medium Risk
41.62,68.87,64.66,Medium Risk
31.75,55.36,22.62,Medium Risk
37.71,31.34,70.25,Medium Risk
33.23,72.5,10.0,Medium Risk
35.44,84.43,39.81,Medium Risk
23.52,68.91,66.79,Low Risk
22.15,82.13,59.62,Medium Risk
24.55,89.46,47.28,Medium Risk
18.76,42.48,33.63,Medium Risk
41.04,59.02,67.53,Medium Risk
24.43,51.3,61.4,Low Risk
32.01,88.21,43.33,Medium Risk
37.82,25.48,73.35,Medium Risk
37.43,51.6,25.48,Medium Risk
29.32,80.18,19.14,Medium Risk
29.22,41.47,56.03,Medium Risk
44.39,75.11,80.0,Medium Risk
35.05,46.72,29.0,Medium Risk
38.41,87.09,24.5,High Risk
43.07,81.74,17.49,High Risk
38.35,39.72,68.97,Medium Risk
21.51,74.22,23.46,Medium Risk
31.9,43.15,45.29,Medium Risk
19.06,60.75,79.95,Medium Risk
34.77,67.88,10.0,Medium Risk
44.26,78.84,50.12,Medium Risk
30.89,20.91,46.76,Medium Risk
28.43,35.67,65.7,Medium Risk
16.32,69.68,34.61,Medium Risk
43.63,57.88,35.8,Medium Risk
19.43,54.82,21.26,Medium Risk
15.6,22.75,61.87,Medium Risk
22.39,42.68,65.18,Medium Risk
16.98,77.64,20.13,Medium Risk
28.94,21.52,37.91,Medium Risk
30.18,48.77,72.11,Medium Risk
24.6,84.91,10.62,Medium Risk
16.41,28.1,32.42,Medium Risk
17.24,74.07,48.71,Medium Risk
26.54,40.38,33.86,Medium Risk
16.05,82.09,28.76,Medium Risk
34.73,75.56,41.23,Medium Risk
21.31,80.58,23.49,Medium Risk
24.4,30.51,46.24,Medium Risk
27.19,56.39,60.05,Low Risk
27.9,75.55,50.31,Low Risk
15.0,37.47,16.06,Medium Risk
17.41,36.65,68.62,Medium Risk
42.26,24.28,21.49,High Risk
15.0,87.78,61.07,Medium Risk
